ID,Name_lang
17104,Gift of Nature
17111,Improved Rejuvenation
17118,Subtlety
17123,Improved Tranquility
17245,Overgrowth
17322,Shadow Reach
17364,Stormstrike
17485,Ancestral Knowledge
17778,Cataclysm
17783,Fel Concentration
17788,Bane
17793,Improved Shadow Bolt
17810,Improved Corruption
17815,Improved Immolate
17877,Shadowburn
17917,Destructive Reach
17927,Agonizing Flames
17954,Emberstorm
17959,Ruin
17962,Conflagrate
18073,Pyroclasm
18094,Nightfall
18096,Apocalypse
18126,Improved Firebolt
18128,Improved Lash of Pain
18130,Devastation
18135,Intensity
18179,Improved Curse of Weakness
18182,Improved Life Tap
18218,Grim Reach
18223,Curse of Exhaustion
18265,Siphon Life
18271,Shadow Mastery
18288,Amplify Curse
18310,Improved Curse of Exhaustion
18427,Aggression
18530,Divine Fury
18551,Mental Strength
18562,Swiftmend
18692,Improved Healthstone
18694,Improved Imp
18697,Demonic Embrace
18703,Improved Health Funnel
18705,Improved Voidwalker
18708,Fel Domination
18709,Master Summoner
18731,Fel Vitality
18754,Improved Sayaad
18767,Improved Firestone
18769,Unholy Power
18774,Improved Spellstone
18788,Demonic Sacrifice
18821,Improved Subjugate Demon
18827,Improved Bane of Agony
19028,Soul Link
19151,Humanoid Slaying
19159,Savage Strikes
19184,Entrapment
19228,Improved Wing Clip
19239,Clever Traps
19255,Survivalist
19263,Deterrence
19286,Improved Feign Death
19290,Surefooted
19306,Counterattack
19370,Killer Instinct
19376,Survival Tactics
19407,Improved Concussive Shot
19416,Efficiency
19421,Improved Hunter's Mark
19426,Lethal Attacks
19434,Aimed Shot
19454,Improved Arcane Shot
19461,Barrage
19464,Improved Serpent Sting
19485,Mortal Shots
19498,Hawk Eye
19506,Trueshot Aura
19507,Ranged Weapon Specialization
19549,Improved Aspect of the Monkey
19552,Deadly Aspects
19557,Improved Eyes of the Beast
19572,Improved Mend Pet
19574,Bestial Wrath
19578,Spirit Bond
19583,Endurance Training
19590,Bestial Discipline
19596,Bestial Swiftness
19616,Unleashed Fury
20711,Spirit of Redemption
24293,Improved Tracking
24294,Monster Slaying
24443,Improved Revive Pet
24858,Moonkin Form
24968,Tranquil Spirit
27789,Holy Reach
27811,Blessed Recovery
27839,Improved Vampiric Embrace
27900,Spell Warding
28996,Elemental Warding
28999,Elemental Reach
29062,Eye of the Storm
29082,Weapon Mastery
29187,Natural Grace
29189,Healing Grace
29192,Improved Weapon Totems
29206,Healing Way
30160,Elemental Devastation
30892,Sleight of Hand
30902,Deadliness
30919,Weapon Expertise
16252,Toughness
14521,Meditation
16089,Elemental Fury
19503,Scatter Shot
16934,Ferocity
19598,Ferocity
13712,Lightning Reflexes
19168,Lightning Reflexes
14251,Riposte
14524,Wand Specialization
19559,Pathfinding
15487,Silence
19577,Intimidation
17804,Soul Siphon
16909,Vengeance
17106,Reflection
16254,Anticipation
16253,Shield Specialization
16298,Shield Specialization
16299,Shield Specialization
16300,Shield Specialization
16301,Shield Specialization
16256,Flurry
18174,Suppression
13709,Hack and Slash
13960,Hack and Slash
13966,Fist Weapon Specialization
13967,Fist Weapon Specialization
13968,Fist Weapon Specialization
13969,Fist Weapon Specialization
19295,Deflection
14094,Improved Sap
14095,Improved Sap
14767,Improved Power Word: Fortitude
15323,Blackout
15324,Blackout
15325,Blackout
15326,Blackout
18544,Force of Will
18547,Force of Will
18548,Force of Will
18549,Force of Will
18550,Force of Will
16196,Nature's Guidance
16198,Nature's Guidance
17116,Nature's Swiftness
16295,Enhancing Totems
16580,Lightning Mastery
16581,Lightning Mastery
16582,Lightning Mastery
16839,Improved Thorns
16840,Improved Thorns
16859,Feral Aggression
16860,Feral Aggression
16861,Feral Aggression
16862,Feral Aggression
16903,Natural Weapons
16904,Natural Weapons
16905,Natural Weapons
16906,Natural Weapons
19609,Thick Hide
16958,Primal Fury
17051,Improved Mark of the Wild
17053,Improved Mark of the Wild
17054,Improved Mark of the Wild
17055,Improved Mark of the Wild
17082,Improved Enrage
17833,Improved Immolate
17834,Improved Immolate
17835,Improved Immolate
17836,Improved Immolate
18119,Aftermath
18127,Improved Firebolt
18129,Improved Lash of Pain
18180,Improved Curse of Weakness
18181,Improved Curse of Weakness
18311,Improved Curse of Exhaustion
18312,Improved Curse of Exhaustion
18313,Improved Curse of Exhaustion
18693,Improved Healthstone
18768,Improved Firestone
18775,Improved Spellstone
18822,Improved Subjugate Demon
18823,Improved Subjugate Demon
18824,Improved Subjugate Demon
18825,Improved Subjugate Demon
19152,Humanoid Slaying
19153,Humanoid Slaying
19287,Improved Feign Death
19621,Frenzy
19558,Improved Eyes of the Beast
23785,Master Demonologist
24295,Monster Slaying
29084,Weapon Mastery
29086,Weapon Mastery
29087,Weapon Mastery
29088,Weapon Mastery
29191,Healing Grace
29193,Improved Weapon Totems
30894,Heightened Senses
